 Destination Port, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length.1,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min,Label
443,61054536,29,34,1669,40480,517,0,57.55172414,140.9408656,2920,0,1190.588235,957.7080316,690.3500176,1.031864365,984750.5806,2968287.714,10000000,1,51300000,1830917.0,3897913.07,10000000,194,61000000,1849424.273,3901679.273,10000000,1,0,0,0,0,600,692,0.474985184,0.556879181,0,2920,658.578125,902.8755791,815184.3113,0,0,0,1,0,0,0,0,1,669.031746,57.55172414,1190.588235,600,0,0,0,0,0,0,29,1669,34,40480,29200,131,28,20,199536.8333,431361.1083,1080049,23327,9976219.0,103828.4745,10000000,9765366,BENIGN
80,105632122,16,3,2541,6,231,0,158.8125,110.5828309,6,0,2.0,3.464101615,24.11198366,0.179869529,5868451.222,12500000.0,51300000,67,106000000,7042133.2,13500000.0,51300000,247,103000000,51300000.0,27900000.0,71000000,31600000,0,0,0,0,536,100,0.151469077,0.028400452,0,231,127.35,117.5733925,13823.50263,0,0,0,1,0,0,0,0,0,134.0526316,158.8125,2.0,536,0,0,0,0,0,0,16,2541,3,6,29200,0,11,32,4704856.0,6652956.986,9409207,505,19200000.0,18800000.0,51300000,5958490,DoS
58723,53,2,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,56603.77358,26.5,33.23401872,50,3,3,3.0,0.0,3,3,0,0.0,0.0,0,0,0,0,0,0,64,32,37735.84906,18867.92453,0,0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,0,0.0,0.0,0.0,64,0,0,0,0,0,0,2,0,1,0,129,333,0,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
80,18488205,15,6,2037,11632,291,0,135.8,150.2717538,10136,0,1938.666667,4056.770473,739.3362417,1.135859322,924410.25,1910184.192,6822651,1,13500000,963375.8571,1930151.116,6823828,1,18500000,3697633.6,3449597.153,6822651,92,0,0,0,0,488,200,0.811328087,0.324531235,0,10136,621.3181818,2148.504162,4616070.132,0,0,0,1,0,0,0,0,0,650.9047619,135.8,1938.666667,488,0,0,0,0,0,0,15,2037,6,11632,29200,235,7,32,6661513.0,0.0,6661513,6661513,6822651.0,0.0,6822651,6822651,DoS
53,30684,1,1,47,79,47,47,47.0,0.0,79,79,79.0,0.0,4106.374658,65.18055012,30684.0,0.0,30684,30684,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,20,20,32.59027506,32.59027506,47,79,57.66666667,18.47520861,341.3333333,0,0,0,0,0,0,0,0,1,86.5,47.0,79.0,20,0,0,0,0,0,0,1,47,1,79,-1,-1,0,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
21468,247,3,1,83,6,46,6,27.66666667,20.20725942,6,6,6.0,0.0,360323.8866,16194.33198,82.33333333,107.7466163,205,3,247,123.5,170.4127343,244,3,0,0.0,0.0,0,0,1,0,0,0,60,20,12145.74899,4048.582996,6,46,27.0,20.1246118,405.0,0,1,0,0,1,0,0,0,0,33.75,27.66666667,6.0,60,0,0,0,0,0,0,3,83,1,6,123,0,2,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53,190,2,2,156,220,78,78,78.0,0.0,110,110,110.0,0.0,1978947.368,21052.63158,63.33333333,69.28443789,139,3,3,3.0,0.0,3,3,48,48.0,0.0,48,48,0,0,0,0,64,64,10526.31579,10526.31579,78,110,90.8,17.52712184,307.2,0,0,0,0,0,0,0,0,1,113.5,78.0,110.0,64,0,0,0,0,0,0,2,156,2,220,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
53584,55,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,36363.63636,55.0,0.0,55,55,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,32,18181.81818,18181.81818,0,0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,122,298,0,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
30000,66,1,1,0,6,0,0,0.0,0.0,6,6,6.0,0.0,90909.09091,30303.0303,66.0,0.0,66,66,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,40,20,15151.51515,15151.51515,0,6,2.0,3.464101615,12.0,0,0,0,1,0,0,0,0,1,3.0,0.0,6.0,40,0,0,0,0,0,0,1,0,1,6,29200,0,0,40,0.0,0.0,0,0,0.0,0.0,0,0,PortScan
55832,1,2,0,12,0,6,6,6.0,0.0,0,0,0.0,0.0,12000000.0,2000000.0,1.0,0.0,1,1,1,1.0,0.0,1,1,0,0.0,0.0,0,0,0,0,0,0,40,0,2000000.0,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,9.0,6.0,0.0,40,0,0,0,0,0,0,2,12,0,0,360,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
